Abbreviation,TeamName,Position,GridPosition,Points,Race,Year,Rainfall,AirTemp,TrackTemp,StandingPoints,HomeRace,QualiPosition
SAI,McLaren,14.0,14.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,0.0,0,14.0
GIO,Alfa Romeo Racing,15.0,19.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,0.0,0,
RUS,Williams,16.0,17.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,0.0,0,17.0
KUB,Williams,17.0,18.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,0.0,0,18.0
NOR,McLaren,18.0,15.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,8.0,0,15.0
KVY,Toro Rosso,19.0,11.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,1.0,0,11.0
HUL,Renault,20.0,8.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,6.0,0,8.0
BOT,Mercedes,1.0,1.0,25.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,62.0,0,1.0
HAM,Mercedes,2.0,2.0,18.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,68.0,0,2.0
VET,Ferrari,3.0,3.0,15.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,37.0,0,3.0
VER,Red Bull Racing,4.0,4.0,12.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,39.0,0,4.0
LEC,Ferrari,5.0,8.0,11.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,36.0,0,9.0
PER,Racing Point,6.0,5.0,8.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,5.0,0,5.0
SAI,McLaren,7.0,9.0,6.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,0.0,0,10.0
NOR,McLaren,8.0,7.0,4.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,8.0,0,7.0
STR,Racing Point,9.0,13.0,2.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,2.0,0,14.0
RAI,Alfa Romeo Racing,10.0,0.0,1.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,12.0,0,19.0
ALB,Toro Rosso,11.0,11.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,3.0,0,12.0
GIO,Alfa Romeo Racing,12.0,17.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,0.0,0,8.0
MAG,Haas F1 Team,13.0,12.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,8.0,0,13.0
HUL,Renault,14.0,15.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,6.0,0,16.0
RUS,Williams,15.0,16.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,0.0,0,17.0
KUB,Williams,16.0,0.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,0.0,0,18.0
GAS,Red Bull Racing,17.0,0.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,13.0,0,20.0
GRO,Haas F1 Team,18.0,14.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,0.0,0,15.0
KVY,Toro Rosso,19.0,6.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,1.0,0,6.0
RIC,Renault,20.0,10.0,0.0,Azerbaijan Grand Prix,2019,0,19.8,39.7,6.0,0,11.0
HAM,Mercedes,1.0,2.0,26.0,Spanish Grand Prix,2019,0,20.1,40.7,86.0,0,2.0
BOT,Mercedes,2.0,1.0,18.0,Spanish Grand Prix,2019,0,20.1,40.7,87.0,0,1.0
VER,Red Bull Racing,3.0,4.0,15.0,Spanish Grand Prix,2019,0,20.1,40.7,51.0,0,4.0
VET,Ferrari,4.0,3.0,12.0,Spanish Grand Prix,2019,0,20.1,40.7,52.0,0,3.0
LEC,Ferrari,5.0,5.0,10.0,Spanish Grand Prix,2019,0,20.1,40.7,47.0,0,5.0
GAS,Red Bull Racing,6.0,6.0,8.0,Spanish Grand Prix,2019,0,20.1,40.7,13.0,0,6.0
MAG,Haas F1 Team,7.0,8.0,6.0,Spanish Grand Prix,2019,0,20.1,40.7,8.0,0,8.0
SAI,McLaren,8.0,12.0,4.0,Spanish Grand Prix,2019,0,20.1,40.7,6.0,1,13.0
KVY,Toro Rosso,9.0,9.0,2.0,Spanish Grand Prix,2019,0,20.1,40.7,1.0,0,9.0
GRO,Haas F1 Team,10.0,7.0,1.0,Spanish Grand Prix,2019,0,20.1,40.7,0.0,0,7.0
ALB,Toro Rosso,11.0,11.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,3.0,0,12.0
RIC,Renault,12.0,13.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,6.0,0,10.0
HUL,Renault,13.0,0.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,6.0,0,16.0
RAI,Alfa Romeo Racing,14.0,14.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,13.0,0,14.0
PER,Racing Point,15.0,15.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,13.0,0,15.0
GIO,Alfa Romeo Racing,16.0,18.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,0.0,0,18.0
RUS,Williams,17.0,19.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,0.0,0,19.0
KUB,Williams,18.0,17.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,0.0,0,20.0
STR,Racing Point,19.0,16.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,4.0,0,17.0
NOR,McLaren,20.0,10.0,0.0,Spanish Grand Prix,2019,0,20.1,40.7,12.0,0,11.0
HAM,Mercedes,1.0,1.0,25.0,Monaco Grand Prix,2019,1,22.8,32.7,112.0,0,1.0
VET,Ferrari,2.0,4.0,18.0,Monaco Grand Prix,2019,1,22.8,32.7,64.0,0,4.0
BOT,Mercedes,3.0,2.0,15.0,Monaco Grand Prix,2019,1,22.8,32.7,105.0,0,2.0
VER,Red Bull Racing,4.0,3.0,12.0,Monaco Grand Prix,2019,1,22.8,32.7,66.0,0,3.0
GAS,Red Bull Racing,5.0,8.0,11.0,Monaco Grand Prix,2019,1,22.8,32.7,21.0,0,5.0
SAI,McLaren,6.0,9.0,8.0,Monaco Grand Prix,2019,1,22.8,32.7,10.0,0,9.0
KVY,Toro Rosso,7.0,7.0,6.0,Monaco Grand Prix,2019,1,22.8,32.7,3.0,0,8.0
ALB,Toro Rosso,8.0,10.0,4.0,Monaco Grand Prix,2019,1,22.8,32.7,3.0,0,10.0
RIC,Renault,9.0,6.0,2.0,Monaco Grand Prix,2019,1,22.8,32.7,6.0,0,7.0
GRO,Haas F1 Team,10.0,13.0,1.0,Monaco Grand Prix,2019,1,22.8,32.7,1.0,0,13.0
NOR,McLaren,11.0,12.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,12.0,0,12.0
PER,Racing Point,12.0,16.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,13.0,0,17.0
HUL,Renault,13.0,11.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,6.0,0,11.0
MAG,Haas F1 Team,14.0,5.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,14.0,0,6.0
RUS,Williams,15.0,19.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,0.0,0,19.0
STR,Racing Point,16.0,17.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,4.0,0,18.0
RAI,Alfa Romeo Racing,17.0,14.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,13.0,0,14.0
KUB,Williams,18.0,20.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,0.0,0,20.0
GIO,Alfa Romeo Racing,19.0,18.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,0.0,0,15.0
LEC,Ferrari,20.0,15.0,0.0,Monaco Grand Prix,2019,1,22.8,32.7,57.0,1,16.0
HAM,Mercedes,1.0,2.0,25.0,Canadian Grand Prix,2019,0,29.4,51.1,137.0,0,2.0
VET,Ferrari,2.0,1.0,18.0,Canadian Grand Prix,2019,0,29.4,51.1,82.0,0,1.0
LEC,Ferrari,3.0,3.0,15.0,Canadian Grand Prix,2019,0,29.4,51.1,57.0,0,3.0
BOT,Mercedes,4.0,6.0,13.0,Canadian Grand Prix,2019,0,29.4,51.1,120.0,0,6.0
VER,Red Bull Racing,5.0,9.0,10.0,Canadian Grand Prix,2019,0,29.4,51.1,78.0,0,11.0
RIC,Renault,6.0,4.0,8.0,Canadian Grand Prix,2019,0,29.4,51.1,8.0,0,4.0
HUL,Renault,7.0,7.0,6.0,Canadian Grand Prix,2019,0,29.4,51.1,6.0,0,7.0
GAS,Red Bull Racing,8.0,5.0,4.0,Canadian Grand Prix,2019,0,29.4,51.1,32.0,0,5.0
STR,Racing Point,9.0,17.0,2.0,Canadian Grand Prix,2019,0,29.4,51.1,4.0,1,18.0
KVY,Toro Rosso,10.0,10.0,1.0,Canadian Grand Prix,2019,0,29.4,51.1,9.0,0,12.0
SAI,McLaren,11.0,11.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,18.0,0,9.0
PER,Racing Point,12.0,15.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,13.0,0,16.0
GIO,Alfa Romeo Racing,13.0,12.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,0.0,0,13.0
GRO,Haas F1 Team,14.0,14.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,2.0,0,15.0
RAI,Alfa Romeo Racing,15.0,16.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,13.0,0,17.0
RUS,Williams,16.0,18.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,0.0,0,19.0
MAG,Haas F1 Team,17.0,0.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,14.0,0,10.0
KUB,Williams,18.0,19.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,0.0,0,20.0
ALB,Toro Rosso,19.0,13.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,7.0,0,14.0
NOR,McLaren,20.0,8.0,0.0,Canadian Grand Prix,2019,0,29.4,51.1,12.0,0,8.0
HAM,Mercedes,1.0,1.0,25.0,French Grand Prix,2019,0,26.9,54.5,162.0,0,1.0
BOT,Mercedes,2.0,2.0,18.0,French Grand Prix,2019,0,26.9,54.5,133.0,0,2.0
LEC,Ferrari,3.0,3.0,15.0,French Grand Prix,2019,0,26.9,54.5,72.0,0,3.0
VER,Red Bull Racing,4.0,4.0,12.0,French Grand Prix,2019,0,26.9,54.5,88.0,0,4.0
VET,Ferrari,5.0,7.0,11.0,French Grand Prix,2019,0,26.9,54.5,100.0,0,7.0
SAI,McLaren,6.0,6.0,8.0,French Grand Prix,2019,0,26.9,54.5,18.0,0,6.0
RAI,Alfa Romeo Racing,7.0,12.0,6.0,French Grand Prix,2019,0,26.9,54.5,13.0,0,12.0
HUL,Renault,8.0,13.0,4.0,French Grand Prix,2019,0,26.9,54.5,12.0,0,13.0
NOR,McLaren,9.0,5.0,2.0,French Grand Prix,2019,0,26.9,54.5,12.0,0,5.0
GAS,Red Bull Racing,10.0,9.0,1.0,French Grand Prix,2019,0,26.9,54.5,36.0,1,9.0
RIC,Renault,11.0,8.0,0.0,French Grand Prix,2019,0,26.9,54.5,16.0,0,8.0
PER,Racing Point,12.0,14.0,0.0,French Grand Prix,2019,0,26.9,54.5,13.0,0,14.0
STR,Racing Point,13.0,17.0,0.0,French Grand Prix,2019,0,26.9,54.5,6.0,0,18.0
KVY,Toro Rosso,14.0,19.0,0.0,French Grand Prix,2019,0,26.9,54.5,10.0,0,16.0
ALB,Toro Rosso,15.0,11.0,0.0,French Grand Prix,2019,0,26.9,54.5,7.0,0,11.0
GIO,Alfa Romeo Racing,16.0,10.0,0.0,French Grand Prix,2019,0,26.9,54.5,0.0,0,10.0
MAG,Haas F1 Team,17.0,15.0,0.0,French Grand Prix,2019,0,26.9,54.5,14.0,0,15.0
KUB,Williams,18.0,18.0,0.0,French Grand Prix,2019,0,26.9,54.5,0.0,0,20.0
RUS,Williams,19.0,20.0,0.0,French Grand Prix,2019,0,26.9,54.5,0.0,0,19.0
GRO,Haas F1 Team,20.0,16.0,0.0,French Grand Prix,2019,0,26.9,54.5,2.0,1,17.0
VER,Red Bull Racing,1.0,2.0,26.0,Austrian Grand Prix,2019,0,34.4,50.7,100.0,0,3.0
LEC,Ferrari,2.0,1.0,18.0,Austrian Grand Prix,2019,0,34.4,50.7,87.0,0,1.0
BOT,Mercedes,3.0,3.0,15.0,Austrian Grand Prix,2019,0,34.4,50.7,151.0,0,4.0
VET,Ferrari,4.0,9.0,12.0,Austrian Grand Prix,2019,0,34.4,50.7,111.0,0,10.0
HAM,Mercedes,5.0,4.0,10.0,Austrian Grand Prix,2019,0,34.4,50.7,187.0,0,2.0
NOR,McLaren,6.0,5.0,8.0,Austrian Grand Prix,2019,0,34.4,50.7,14.0,0,6.0
GAS,Red Bull Racing,7.0,8.0,6.0,Austrian Grand Prix,2019,0,34.4,50.7,37.0,0,9.0
SAI,McLaren,8.0,19.0,4.0,Austrian Grand Prix,2019,0,34.4,50.7,26.0,0,15.0
RAI,Alfa Romeo Racing,9.0,6.0,2.0,Austrian Grand Prix,2019,0,34.4,50.7,19.0,0,7.0
GIO,Alfa Romeo Racing,10.0,7.0,1.0,Austrian Grand Prix,2019,0,34.4,50.7,0.0,0,8.0
PER,Racing Point,11.0,13.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,13.0,0,16.0
RIC,Renault,12.0,12.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,16.0,0,14.0
HUL,Renault,13.0,15.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,16.0,0,12.0
STR,Racing Point,14.0,14.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,6.0,0,17.0
ALB,Toro Rosso,15.0,18.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,7.0,0,13.0
GRO,Haas F1 Team,16.0,11.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,2.0,0,11.0
KVY,Toro Rosso,17.0,16.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,10.0,0,18.0
RUS,Williams,18.0,0.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,0.0,0,19.0
MAG,Haas F1 Team,19.0,10.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,14.0,0,5.0
KUB,Williams,20.0,17.0,0.0,Austrian Grand Prix,2019,0,34.4,50.7,0.0,0,20.0
HAM,Mercedes,1.0,2.0,26.0,British Grand Prix,2019,0,18.9,30.3,197.0,1,2.0
BOT,Mercedes,2.0,1.0,18.0,British Grand Prix,2019,0,18.9,30.3,166.0,0,1.0
LEC,Ferrari,3.0,3.0,15.0,British Grand Prix,2019,0,18.9,30.3,105.0,0,3.0
GAS,Red Bull Racing,4.0,5.0,12.0,British Grand Prix,2019,0,18.9,30.3,43.0,0,5.0
VER,Red Bull Racing,5.0,4.0,10.0,British Grand Prix,2019,0,18.9,30.3,126.0,0,4.0
SAI,McLaren,6.0,13.0,8.0,British Grand Prix,2019,0,18.9,30.3,30.0,0,13.0
RIC,Renault,7.0,7.0,6.0,British Grand Prix,2019,0,18.9,30.3,16.0,0,7.0
RAI,Alfa Romeo Racing,8.0,12.0,4.0,British Grand Prix,2019,0,18.9,30.3,21.0,0,12.0
KVY,Toro Rosso,9.0,17.0,2.0,British Grand Prix,2019,0,18.9,30.3,10.0,0,17.0
HUL,Renault,10.0,10.0,1.0,British Grand Prix,2019,0,18.9,30.3,16.0,0,10.0
NOR,McLaren,11.0,8.0,0.0,British Grand Prix,2019,0,18.9,30.3,22.0,1,8.0
ALB,Toro Rosso,12.0,9.0,0.0,British Grand Prix,2019,0,18.9,30.3,7.0,0,9.0
STR,Racing Point,13.0,18.0,0.0,British Grand Prix,2019,0,18.9,30.3,6.0,0,18.0
RUS,Williams,14.0,19.0,0.0,British Grand Prix,2019,0,18.9,30.3,0.0,1,19.0
KUB,Williams,15.0,20.0,0.0,British Grand Prix,2019,0,18.9,30.3,0.0,0,20.0
VET,Ferrari,16.0,6.0,0.0,British Grand Prix,2019,0,18.9,30.3,123.0,0,6.0
PER,Racing Point,17.0,15.0,0.0,British Grand Prix,2019,0,18.9,30.3,13.0,0,15.0
GIO,Alfa Romeo Racing,18.0,11.0,0.0,British Grand Prix,2019,0,18.9,30.3,1.0,0,11.0
GRO,Haas F1 Team,19.0,14.0,0.0,British Grand Prix,2019,0,18.9,30.3,2.0,0,14.0
MAG,Haas F1 Team,20.0,16.0,0.0,British Grand Prix,2019,0,18.9,30.3,14.0,0,16.0
VER,Red Bull Racing,1.0,2.0,26.0,German Grand Prix,2019,1,21.5,26.4,136.0,0,2.0
VET,Ferrari,2.0,20.0,18.0,German Grand Prix,2019,1,21.5,26.4,123.0,1,20.0
KVY,Toro Rosso,3.0,14.0,15.0,German Grand Prix,2019,1,21.5,26.4,12.0,0,14.0
STR,Racing Point,4.0,15.0,12.0,German Grand Prix,2019,1,21.5,26.4,6.0,0,15.0
SAI,McLaren,5.0,7.0,10.0,German Grand Prix,2019,1,21.5,26.4,38.0,0,7.0
ALB,Toro Rosso,6.0,16.0,8.0,German Grand Prix,2019,1,21.5,26.4,7.0,0,17.0
GRO,Haas F1 Team,7.0,6.0,6.0,German Grand Prix,2019,1,21.5,26.4,2.0,0,6.0
MAG,Haas F1 Team,8.0,12.0,4.0,German Grand Prix,2019,1,21.5,26.4,14.0,0,12.0
HAM,Mercedes,9.0,1.0,2.0,German Grand Prix,2019,1,21.5,26.4,223.0,0,1.0
KUB,Williams,10.0,18.0,1.0,German Grand Prix,2019,1,21.5,26.4,0.0,0,19.0
RUS,Williams,11.0,17.0,0.0,German Grand Prix,2019,1,21.5,26.4,0.0,0,18.0
RAI,Alfa Romeo Racing,12.0,5.0,0.0,German Grand Prix,2019,1,21.5,26.4,25.0,0,5.0
GIO,Alfa Romeo Racing,13.0,11.0,0.0,German Grand Prix,2019,1,21.5,26.4,1.0,0,11.0
GAS,Red Bull Racing,14.0,4.0,0.0,German Grand Prix,2019,1,21.5,26.4,55.0,0,4.0
BOT,Mercedes,15.0,3.0,0.0,German Grand Prix,2019,1,21.5,26.4,184.0,0,3.0
HUL,Renault,16.0,9.0,0.0,German Grand Prix,2019,1,21.5,26.4,17.0,1,9.0
LEC,Ferrari,17.0,10.0,0.0,German Grand Prix,2019,1,21.5,26.4,120.0,0,10.0
NOR,McLaren,18.0,19.0,0.0,German Grand Prix,2019,1,21.5,26.4,22.0,0,16.0
RIC,Renault,19.0,13.0,0.0,German Grand Prix,2019,1,21.5,26.4,22.0,0,13.0
PER,Racing Point,20.0,8.0,0.0,German Grand Prix,2019,1,21.5,26.4,13.0,0,8.0
HAM,Mercedes,1.0,3.0,25.0,Hungarian Grand Prix,2019,0,25.7,44.1,225.0,0,3.0
VER,Red Bull Racing,2.0,1.0,19.0,Hungarian Grand Prix,2019,0,25.7,44.1,162.0,0,1.0
VET,Ferrari,3.0,5.0,15.0,Hungarian Grand Prix,2019,0,25.7,44.1,141.0,0,5.0
LEC,Ferrari,4.0,4.0,12.0,Hungarian Grand Prix,2019,0,25.7,44.1,120.0,0,4.0
SAI,McLaren,5.0,8.0,10.0,Hungarian Grand Prix,2019,0,25.7,44.1,48.0,0,8.0
GAS,Red Bull Racing,6.0,6.0,8.0,Hungarian Grand Prix,2019,0,25.7,44.1,55.0,0,6.0
RAI,Alfa Romeo Racing,7.0,10.0,6.0,Hungarian Grand Prix,2019,0,25.7,44.1,25.0,0,10.0
BOT,Mercedes,8.0,2.0,4.0,Hungarian Grand Prix,2019,0,25.7,44.1,184.0,0,2.0
NOR,McLaren,9.0,7.0,2.0,Hungarian Grand Prix,2019,0,25.7,44.1,22.0,0,7.0
ALB,Toro Rosso,10.0,12.0,1.0,Hungarian Grand Prix,2019,0,25.7,44.1,15.0,0,12.0
PER,Racing Point,11.0,16.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,13.0,0,17.0
HUL,Renault,12.0,11.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,17.0,0,11.0
MAG,Haas F1 Team,13.0,14.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,18.0,0,15.0
RIC,Renault,14.0,20.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,22.0,0,18.0
KVY,Toro Rosso,15.0,13.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,27.0,0,13.0
RUS,Williams,16.0,15.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,0.0,0,16.0
STR,Racing Point,17.0,18.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,18.0,0,19.0
GIO,Alfa Romeo Racing,18.0,17.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,1.0,0,14.0
KUB,Williams,19.0,19.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,1.0,0,20.0
GRO,Haas F1 Team,20.0,9.0,0.0,Hungarian Grand Prix,2019,0,25.7,44.1,8.0,0,9.0
LEC,Ferrari,1.0,1.0,25.0,Belgian Grand Prix,2019,0,17.4,28.1,132.0,0,1.0
HAM,Mercedes,2.0,3.0,18.0,Belgian Grand Prix,2019,0,17.4,28.1,250.0,0,3.0
BOT,Mercedes,3.0,4.0,15.0,Belgian Grand Prix,2019,0,17.4,28.1,188.0,0,4.0
VET,Ferrari,4.0,2.0,13.0,Belgian Grand Prix,2019,0,17.4,28.1,156.0,0,2.0
ALB,Red Bull Racing,5.0,17.0,10.0,Belgian Grand Prix,2019,0,17.4,28.1,16.0,0,14.0
PER,Racing Point,6.0,7.0,8.0,Belgian Grand Prix,2019,0,17.4,28.1,13.0,0,9.0
